Counter,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
786679,1997,0029600977,Aaron McKie,DET,"MAR 22, 1997",DET @ CHI,L,20,2,2,1.0,1,1,1.0,0,0,0.0,0,2,2,4,0,0,0,2,5,-1.0,0
786680,1997,0029600971,Aaron McKie,DET,"MAR 21, 1997",DET vs. MIN,W,20,5,9,0.556,2,4,0.5,4,6,0.667,1,0,1,1,2,0,0,1,16,15.0,0
786666,1997,0029601169,Aaron McKie,DET,"APR 18, 1997",DET vs. CLE,L,27,2,7,0.286,0,2,0.0,0,0,0.0,0,3,3,1,2,0,4,5,4,-14.0,0
786664,1997,0029700007,Aaron McKie,DET,"OCT 31, 1997",DET vs. WAS,W,24,1,9,0.111,0,2,0.0,0,0,0.0,2,3,5,0,2,0,1,3,2,12.0,0
786663,1997,0029700027,Aaron McKie,DET,"NOV 02, 1997",DET @ NYK,W,27,5,10,0.5,1,1,1.0,0,0,0.0,3,0,3,1,2,0,0,4,11,14.0,0
786669,1997,0029601132,Aaron McKie,DET,"APR 13, 1997",DET vs. CHI,W,9,3,5,0.6,0,0,0.0,0,0,0.0,3,1,4,0,1,0,1,2,6,-2.0,0
786668,1997,0029601138,Aaron McKie,DET,"APR 14, 1997",DET @ ORL,L,31,7,13,0.538,2,4,0.5,0,0,0.0,0,2,2,3,2,0,1,3,16,-8.0,0
786667,1997,0029601157,Aaron McKie,DET,"APR 16, 1997",DET vs. MIL,W,42,7,14,0.5,0,2,0.0,4,5,0.8,3,9,12,8,1,1,2,2,18,6.0,0
786655,1997,0029700117,Aaron McKie,DET,"NOV 15, 1997",DET vs. NJN,W,27,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,1,0,1,4,0,-2.0,0
786662,1997,0029700033,Aaron McKie,DET,"NOV 04, 1997",DET @ ATL,L,26,4,8,0.5,0,1,0.0,0,2,0.0,0,2,2,2,0,0,0,3,8,-3.0,0
786661,1997,0029700047,Aaron McKie,DET,"NOV 05, 1997",DET vs. IND,L,19,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0,-1.0,0
